Toy Story,Twelve Monkeys,Se7en,The Usual Suspects,Braveheart,Apollo 13,Star Wars,Pulp Fiction,The Shawshank Redemption,Forrest Gump,The Lion King,True Lies,The Fugitive,Jurassic Park,Schindler's List,Aladdin,Terminator 2: Judgment Day,Dances with Wolves,Batman,The Silence of the Lambs,Fargo,Independence Day,The Godfather,The Empire Strikes Back,Raiders of the Lost Ark,Return of the Jedi,Back to the Future,The Matrix,American Beauty,Fight Club,The Lord of the Rings: The Fellowship of the Ring
5.0,,4.0,4.0,,,3.0,4.0,5.0,4.0,,,3.0,,4.0,5.0,,,,,2.0,,,,4.0,,5.0,,5.0,,0.5
2.0,,,,4.0,,5.0,5.0,,4.0,,,,2.0,5.0,3.0,4.0,4.0,,4.0,5.0,3.0,5.0,,,,,5.0,5.0,4.0,
4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,,,4.0,,,,5.0,,,,,5.0,,,,,,,,,,
,,5.0,,4.0,4.0,,3.0,,5.0,4.0,4.0,5.0,5.0,,5.0,5.0,5.0,3.0,4.0,,,,,,,,,,,
,,,,,,5.0,,,,,2.5,,5.0,,,5.0,,,,,,,5.0,5.0,5.0,5.0,5.0,,4.0,4.0
,,,,,,,,4.5,5.0,,,,,,,,,,4.0,4.5,,,,,,,3.5,5.0,4.5,
,,,5.0,,,,5.0,,,,,,,,,,,,3.0,5.0,,,,,,,,5.0,,
3.0,5.0,,5.0,5.0,4.0,5.0,5.0,,3.0,,,,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,,5.0,,
,,,,,,4.5,,,4.0,,,,3.5,,,,,,,,,,4.0,,4.5,,5.0,,5.0,4.5
,,3.0,5.0,2.5,,,4.5,5.0,5.0,,4.0,5.0,,2.5,4.5,,4.5,4.5,3.5,4.0,1.5,,,,,4.5,,5.0,,
,4.0,2.5,,,,3.0,3.0,,,3.0,,,3.0,3.5,3.5,,3.0,,4.0,,2.0,,3.5,4.0,3.0,,2.5,3.0,,2.5
3.0,2.0,,,1.5,,4.0,4.5,4.5,,3.5,2.5,,,,3.5,2.5,1.0,3.0,4.0,5.0,2.0,,4.5,3.5,3.5,4.0,,4.5,,
,,,,,,,,3.5,4.5,,,,3.5,3.0,,,,,3.5,,,,,,,,,,,
,,,,,,,,,5.0,,4.0,3.0,,,5.0,,,,,,,,,,5.0,,,5.0,,
4.5,4.5,4.0,2.5,,4.0,,3.5,4.0,2.5,,1.5,3.5,3.0,4.5,4.0,,,3.0,4.0,5.0,,,,,,4.5,,4.0,,
3.0,,3.0,4.0,,2.0,,4.0,4.0,2.0,3.0,3.0,3.0,3.0,,,4.0,,3.0,,,3.0,,,,,,,,,
5.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
,,4.0,,4.0,2.5,5.0,4.5,,4.0,3.5,3.0,,2.5,3.5,4.0,4.0,,4.0,5.0,,1.5,,5.0,4.5,5.0,3.5,3.5,4.0,4.0,5.0
,,,,3.5,,5.0,,5.0,5.0,,,0.5,,5.0,,4.0,,,,,,,5.0,5.0,5.0,5.0,2.5,,,4.5
,,2.0,4.0,5.0,,,2.0,,5.0,,,5.0,5.0,5.0,1.0,,5.0,,,,,5.0,,,,5.0,5.0,5.0,5.0,4.0
4.0,,,,5.0,,5.0,3.0,,5.0,,4.0,5.0,4.0,5.0,3.0,4.0,,4.0,5.0,,4.0,,,,,4.0,4.0,,5.0,
,4.0,,,5.0,,,,,5.0,,,,,5.0,,,,,,,4.0,,,5.0,4.0,5.0,5.0,,,5.0
,,,,,,,,,5.0,,,,3.0,,,4.0,4.0,,3.0,,,,,,,,,,,
,,,,,,,,5.0,5.0,,,,,5.0,,,,,5.0,,,5.0,,,,4.5,5.0,4.5,4.5,
,,,,4.0,,4.5,4.0,,5.0,,,,,,,4.0,,,,,,,4.5,,4.0,5.0,5.0,,5.0,4.0
3.0,4.0,,,,,4.0,,,,,,,,,,,,,,,3.0,4.0,,,4.0,,,,,
4.5,,,,5.0,4.0,4.5,4.0,5.0,5.0,,,,4.0,,,4.0,4.5,4.0,3.5,,3.5,4.5,4.0,4.0,4.0,,,4.5,5.0,5.0
,,3.0,5.0,,3.0,4.0,3.0,4.0,3.0,,3.0,4.0,,,4.0,3.0,3.0,3.0,5.0,5.0,,,,,,,,,,
,,,,1.5,,3.5,5.0,4.0,,,,,,,,,,,,4.0,,,5.0,,,3.5,,,5.0,4.5
,,,,,,2.0,,,4.0,,,,,,,,,,,4.0,,,,,2.0,,,4.0,3.0,
,,,,,,5.0,,,4.0,,,,,,,4.0,4.0,,,,,,5.0,,5.0,,5.0,,2.5,
1.5,4.0,,5.0,5.0,3.5,4.0,,5.0,5.0,,3.5,,3.0,,,4.0,4.5,4.0,4.5,,4.5,,,,,4.0,,5.0,,3.5
2.5,,5.0,,3.0,,,4.0,3.0,3.0,2.0,2.0,,3.0,3.0,2.0,,,,5.0,,1.5,3.5,,,,3.0,,4.0,3.5,3.0
,,,,3.5,,,3.0,4.0,4.0,,,,,,,,4.0,,4.0,,,,,,,3.5,,,2.5,
,,,5.0,,,,,,,,,3.0,,4.0,,,,,,5.0,,4.0,,4.0,,3.0,,5.0,,
,,,4.0,,5.0,,3.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,,5.0,3.0,4.0,,,,,,,,,,,
,,4.5,4.0,,,4.5,5.0,5.0,,,,,,,,,,,4.0,,,,,,,,,5.0,5.0,
5.0,3.0,4.0,3.5,4.5,4.5,5.0,5.0,3.5,5.0,5.0,4.0,4.0,4.5,5.0,4.5,5.0,,4.0,5.0,3.5,3.0,4.5,5.0,5.0,4.0,5.0,4.5,3.0,4.5,5.0
,,4.0,4.0,,,4.0,4.5,,,,,,,,,,,,,,,,4.5,,4.0,,5.0,,5.0,5.0
,4.0,,3.5,4.0,,5.0,4.5,3.5,,,,4.0,,,3.5,4.5,,,5.0,,,,4.5,4.5,4.5,4.0,5.0,,,4.0
4.0,,,,,,4.0,,,,,,,3.5,,,,,4.0,,,,,,4.0,,,,,,5.0
4.5,,,,,3.5,5.0,4.5,,,,,,,,,,,,4.0,,,,5.0,,5.0,4.0,5.0,,5.0,5.0
5.0,,,3.5,5.0,,,,,5.0,5.0,,4.5,5.0,,,5.0,,,,4.0,,4.5,,5.0,,5.0,5.0,5.0,4.0,
,,,,5.0,,5.0,,5.0,5.0,,,,,,,4.0,,,,,,5.0,,,5.0,,5.0,,,
,,3.0,5.0,4.0,4.0,,2.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,,,,,,,,,,,
,,,,,3.5,4.0,4.5,,3.5,,3.5,3.5,4.0,5.0,,4.5,4.0,3.5,4.0,4.5,2.0,4.0,,4.0,,5.0,3.0,4.5,,
4.0,3.5,,,4.5,4.5,4.5,3.5,5.0,4.5,,3.0,4.0,3.0,5.0,,2.0,3.0,2.5,4.0,,2.0,,3.0,5.0,4.0,3.5,,2.5,0.5,5.0
3.0,4.0,3.0,4.0,,4.0,,4.5,4.5,5.0,3.5,,3.5,3.0,5.0,,,3.0,,2.0,4.0,2.5,,,,,3.5,2.5,5.0,,
4.0,5.0,5.0,5.0,5.0,,5.0,4.0,,5.0,3.0,,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,,
5.0,,,,,,4.0,,,,4.5,,,5.0,,5.0,5.0,,,,,5.0,,4.0,5.0,5.0,,5.0,,,5.0
,,5.0,,5.0,3.0,,5.0,,5.0,4.0,,,4.0,5.0,3.0,4.0,4.0,2.0,5.0,,5.0,,,,,,,,,
,,5.0,4.5,,4.0,4.0,,,,,3.5,4.5,,,,,,,,,,5.0,,,,,,,,
,,4.5,,,,,,5.0,,,,,,,,4.5,5.0,,,,,,,5.0,4.5,4.5,5.0,,,
4.0,4.5,4.5,5.0,4.0,4.0,4.5,5.0,5.0,5.0,4.0,4.5,4.0,3.5,5.0,4.0,4.0,3.0,3.5,4.5,4.5,4.5,4.5,4.5,,,4.0,4.0,5.0,5.0,4.0
4.0,,,,3.5,,2.5,,,3.5,,,,,,,3.5,,,,,,,,,,3.0,,,,4.0
4.0,,,,3.0,,4.0,,3.0,4.0,4.5,4.0,3.5,4.0,4.0,5.0,3.0,3.0,3.0,,,4.5,,4.0,4.5,4.0,4.0,4.5,,,4.0
,,4.5,4.5,4.0,4.5,5.0,4.0,4.5,4.5,4.0,4.0,4.5,4.5,4.5,4.5,5.0,4.0,4.5,4.5,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0
,,,,,,4.0,4.5,,4.0,,,,,,,,,,3.5,2.0,,5.0,,4.0,,4.0,2.0,5.0,4.0,
,,,,,,4.0,,5.0,,,,,,,,,,,,5.0,,,,4.0,,5.0,5.0,,,3.0
,5.0,4.5,,,,,3.0,,,,,,,,,4.0,,4.0,,5.0,,,,,,,,,,
,4.5,,,5.0,4.5,4.0,,,4.5,,,,5.0,,2.0,4.5,,,4.5,,,,,4.5,4.5,,,4.0,,
,,,,,,,,,,3.0,,4.0,4.0,,4.0,3.0,4.0,3.0,5.0,,,,,,,,,,,
,3.0,2.5,3.5,,,4.0,4.0,4.5,3.0,,3.5,,,4.0,,,3.5,2.5,4.0,4.0,3.0,4.0,4.0,4.0,,4.5,4.5,4.0,4.0,
,,5.0,4.5,,4.0,3.0,5.0,5.0,4.5,2.0,,,,0.5,,,,,,5.0,,,3.5,,3.0,4.0,3.5,4.5,,2.5
,,,,,,,3.0,3.0,,,2.0,,2.0,,,,3.0,,,2.0,,,,,,,,,,
3.0,,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,4.0,,
,,4.0,5.0,,,,5.0,5.0,,,,,,4.5,,,,,,,,4.5,,,,,,5.0,4.5,
,,3.0,,,3.0,,,,3.0,,,,,,,,3.0,,,,3.0,,,,,,,,,
,,,5.0,,,5.0,4.5,4.5,,,,4.5,,4.5,,,,,,4.5,,5.0,5.0,4.5,,,,,4.5,5.0
3.0,,0.5,3.0,3.0,5.0,4.0,3.0,4.5,5.0,3.0,3.5,4.5,4.5,5.0,3.0,4.5,5.0,2.0,2.0,4.0,4.5,,3.0,4.5,3.5,4.5,4.0,,,
5.0,2.0,,5.0,,,2.0,5.0,4.0,2.0,,5.0,4.0,1.0,5.0,3.0,5.0,,3.0,5.0,5.0,1.0,4.0,4.0,2.0,,,4.0,5.0,5.0,
4.0,3.0,4.0,,5.0,3.5,,,5.0,4.5,5.0,4.0,4.5,4.0,5.0,4.5,3.5,4.0,,,,,,,4.0,,4.0,4.0,3.5,2.5,4.5
2.0,,,,,,5.0,,5.0,4.5,,,,4.5,,,,,,4.5,,,,5.0,5.0,,3.5,4.5,,,
,,,,,,4.0,,,,,,,,,,3.5,,,2.0,,,,4.0,4.0,4.0,,3.5,,,4.0
,,,,,4.0,,1.0,4.0,4.0,,4.0,5.0,4.0,,3.0,,3.0,3.0,,,,,,,,,,,,
1.0,,,,,,1.0,,,,,,,,,,,,,,3.0,5.0,,,,1.0,,,,,
,,,,4.0,,,,,3.0,,3.0,,4.0,,,3.0,,3.0,4.0,,,,,,,,,,,
,,,,,,,4.5,4.0,4.0,,,,,4.0,,,,,,,,,,,,,4.5,3.0,,
3.0,,,4.0,,,,5.0,,,,,,,,,,,,3.0,4.0,,,1.0,,,,,,,
4.0,3.5,,,4.0,4.0,3.5,,4.0,4.0,3.5,,,,3.0,4.0,,3.5,4.0,4.0,,,,,,,,4.0,,,2.5
,4.0,3.5,,,,4.5,5.0,,,4.0,,,,,,,,3.0,,5.0,,,4.0,,,,,,,
4.0,,,,4.0,4.0,4.0,,4.5,3.0,3.5,3.5,3.0,3.5,,3.5,,,,3.0,3.0,3.5,,4.5,3.5,,3.5,,4.0,,
5.0,3.0,,,,,5.0,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,
,4.0,,4.0,4.0,2.0,,,4.0,,,,4.0,3.0,5.0,,3.0,,,1.0,,,,,2.0,,,,,,
4.0,,,,,,,,5.0,4.5,,,,,5.0,3.5,4.0,,,,,,4.5,,,,,5.0,,,
5.0,,,,,,4.0,5.0,4.0,5.0,,,,,,,,,,,,,5.0,,,,,4.0,,4.0,
,,4.0,,3.0,4.0,,3.0,4.0,4.0,4.0,,3.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,,,,,,,,,,,
,,4.5,,4.5,,3.0,,5.0,5.0,,,,,5.0,,,,,,,,3.0,3.0,2.5,4.0,4.0,5.0,,,
,,5.0,,,,,3.5,5.0,5.0,5.0,,,,,,,,,,,,5.0,,,,,3.5,,,5.0
,,,5.0,,5.0,4.0,3.0,5.0,,,,,,5.0,,,,,5.0,5.0,,5.0,3.0,4.0,,,,,,
5.0,4.0,,,,,5.0,,,,,,,,,,,,,,3.0,4.0,5.0,,,5.0,,,,,
4.0,,5.0,5.0,4.0,,5.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,2.0,5.0,,3.0,,5.0,5.0,5.0,4.0,,,,
4.5,5.0,4.5,4.5,4.5,,4.0,5.0,5.0,3.5,4.5,,,2.0,4.5,4.0,,,3.5,4.5,5.0,1.5,5.0,4.5,4.5,4.0,3.5,4.5,5.0,5.0,4.0
,3.0,2.5,,2.0,,5.0,,1.0,,,,,1.0,1.0,,5.0,1.0,,2.0,1.0,3.0,,5.0,5.0,5.0,4.0,5.0,,,4.0
,,,,,,4.5,,,,,,,,4.5,,,,,,,,4.0,4.5,4.0,4.5,,3.0,,,5.0
,5.0,,,,,,3.0,,5.0,,,,,,,,,,4.0,,,,,,,,,5.0,,
4.0,,,4.0,,,4.0,,5.0,4.0,,,,,,,,5.0,,,,,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
,3.5,4.0,,,,5.0,4.0,5.0,,,,,4.5,,,,,,4.0,,,,5.0,4.5,,,,,4.5,
3.5,2.5,3.5,,3.5,2.0,3.0,3.5,4.0,3.5,2.0,2.0,3.0,3.0,,3.0,3.5,3.0,2.5,3.5,,1.5,3.5,3.0,3.5,3.5,3.0,3.5,4.0,4.0,2.0
5.0,,,,,,,,5.0,1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,3.0,4.0,5.0,,,,,,,,,,,
3.0,4.0,5.0,3.5,4.0,3.0,5.0,4.5,5.0,5.0,4.0,3.5,3.0,3.5,4.0,3.0,4.0,4.0,3.5,4.5,,3.0,5.0,5.0,5.0,4.5,4.0,5.0,5.0,5.0,4.5
5.0,5.0,,,,,,,,,5.0,,,,,5.0,,,4.0,,,,,,,,,,,,
5.0,3.0,3.0,5.0,1.0,,5.0,5.0,5.0,5.0,4.0,2.0,2.0,,5.0,5.0,5.0,,4.0,5.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,4.0,,
,,,,,,,,4.0,,4.5,,,,4.0,,,3.0,,,,,3.5,,3.5,,,,4.0,3.5,
,,4.0,5.0,,,,,,,,,5.0,,,,,,,5.0,4.0,,,,,,,4.0,,,
3.0,3.0,,,,,5.0,,,,,,,,,,,,,,3.0,5.0,4.0,,,5.0,,,,,
,,,5.0,,,,4.5,5.0,4.0,,,,,,,,,4.0,5.0,,,4.0,,4.0,,5.0,4.5,5.0,2.5,3.0
5.0,4.0,5.0,4.0,1.0,,5.0,,,,4.0,,,4.0,5.0,4.0,5.0,,,,5.0,2.0,,5.0,,5.0,3.0,3.0,4.0,3.0,
,,,,,,5.0,,,,,4.5,4.5,,,,4.5,,,,4.5,,,5.0,5.0,,4.0,5.0,3.5,,
,4.0,4.0,3.0,5.0,4.0,,4.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,
,4.5,,,4.0,,4.5,,5.0,,,,,,4.0,,4.0,,,,,3.0,,4.0,,4.0,,4.5,,4.5,5.0
,,4.5,,4.5,,,4.5,5.0,5.0,,,,,,,4.0,,,4.5,,,,,,,3.0,5.0,4.0,4.0,1.5
,,,4.0,,,4.0,5.0,5.0,3.0,,,4.0,,4.0,,4.0,,,,5.0,,5.0,4.0,,,2.0,,5.0,,
,,,,3.0,5.0,,4.0,,4.0,,4.0,4.0,4.0,,1.0,3.0,3.0,4.0,5.0,,,,,,,,,,,
,,,3.0,,,,4.5,4.0,,,,,,4.0,,,,,,,,,,,,,,3.5,4.5,
3.5,4.0,4.5,,4.0,,,4.5,5.0,4.5,,,3.5,,4.5,,4.0,,,4.0,,,,,,,,4.0,4.5,4.0,4.0
4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,,3.0,,4.0,,4.0,4.0,4.0,4.5,5.0,4.0,4.0,4.5,4.0,,4.0,3.0,5.0,5.0,5.0,4.5
,,1.0,,,,,,,3.0,,2.0,,3.0,,5.0,,,,2.0,1.0,2.0,5.0,,,,4.0,,,,
3.5,,,,,3.0,3.5,,3.0,3.0,3.0,,,,,3.0,,,,,,,,,,,,3.0,,,4.0
5.0,5.0,5.0,,3.0,4.0,5.0,5.0,,4.0,,2.0,5.0,,,,,,,,5.0,4.0,,,4.0,,,,,,
,,4.0,,4.5,,4.5,4.5,,3.0,3.0,4.5,3.0,3.5,3.0,,5.0,,4.0,,,3.0,,5.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0
,,5.0,5.0,3.0,4.0,,5.0,5.0,5.0,,3.0,4.0,4.0,4.0,,4.0,3.0,,5.0,5.0,,,,,,,,,,
,4.0,,4.0,,,,,,,,2.0,,,5.0,,,,,,,,,,,3.0,3.0,,4.0,5.0,
,,,,,,,,5.0,,,,,,3.0,,,,,4.0,5.0,,5.0,4.0,,,,,5.0,,
,4.0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,4.0,3.0,,5.0,4.0,5.0,,4.0,5.0,3.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0
,,,,5.0,4.0,,,5.0,,,5.0,,,,4.0,,5.0,,,,,,,,,,,,,
4.0,1.0,,,3.0,,5.0,5.0,,,,5.0,3.0,5.0,,,3.0,,3.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,
,,3.0,5.0,4.0,2.0,,,5.0,3.0,,,,,5.0,,,3.0,3.0,,,,,,,,,,,,
,4.0,4.0,4.5,2.5,,3.0,4.5,3.0,,3.0,3.0,,,0.5,,3.0,2.0,3.5,,5.0,3.0,3.0,4.0,4.0,3.5,4.0,5.0,,,2.0
5.0,3.0,3.0,4.0,3.0,5.0,,,,3.0,4.0,3.0,3.0,5.0,,2.0,4.0,5.0,4.0,5.0,,4.0,,,,,,,,,
,,2.0,4.0,,,,5.0,4.0,,,,3.0,3.0,,3.0,,,,4.0,,,,,,,,,,,
,4.0,4.0,5.0,5.0,4.0,,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,,,,,,,,,,
5.0,,,,,,5.0,,,5.0,,,,,,,,,,,,,,5.0,5.0,5.0,4.0,5.0,,,
2.0,,,,,4.5,4.0,,,5.0,4.0,,,,,4.0,,,,,,4.0,2.5,4.5,4.0,4.5,5.0,4.5,,,4.0
,,,,2.0,,5.0,,,5.0,,2.5,5.0,,,,,4.5,,,,4.0,5.0,4.0,4.5,4.5,5.0,,0.5,,4.5
3.5,,,,,,,,,,3.5,,,,,,,,,,,,4.0,3.5,,,,,,,5.0
4.0,4.0,,4.0,,5.0,,5.0,4.0,,,,4.0,,4.0,,,,,4.0,5.0,,,,,,,5.0,5.0,5.0,5.0
2.0,4.0,5.0,5.0,,3.0,5.0,4.0,,3.0,,,3.0,,,3.0,,2.0,,3.0,4.0,4.0,,5.0,2.0,5.0,3.0,5.0,,,
5.0,3.0,5.0,4.0,4.0,4.0,,5.0,5.0,,,3.0,,,,,,4.0,3.0,,,,,,,,,,,,
5.0,4.5,,,5.0,,4.5,1.0,5.0,5.0,,4.0,,5.0,0.5,,,,,,1.0,,,,5.0,,5.0,5.0,,,5.0
,,,,,,,,5.0,,,,,,5.0,,,,,,4.0,,4.0,3.0,,,,,4.0,,
4.0,,,4.0,3.0,,3.0,3.0,2.0,,4.0,,,,,4.0,,,,,,,,,,3.0,,4.0,3.0,4.0,
,,,5.0,5.0,3.0,,3.0,,3.0,,5.0,5.0,5.0,,3.0,,3.0,3.0,,,4.0,,,,,,,,,
,3.0,,,,3.0,,3.0,,4.0,3.0,3.0,4.0,3.0,,,3.0,,3.0,4.0,,3.0,,,,,,,,,
3.5,,,,5.0,,4.0,,,4.0,,,4.0,,,0.5,,,,,4.0,4.0,,4.0,3.5,4.0,,4.5,,,4.5
3.5,,3.5,,,4.0,,,,4.5,4.5,4.0,,5.0,,,3.5,3.5,3.0,,,4.5,,,,,,4.0,,,5.0
4.5,,,4.0,,,,,,,,,,,4.5,,,3.5,,,,,3.5,,,,,,,2.0,
,4.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,4.0,4.0,,4.0,,,,
2.0,,,,5.0,4.0,,,5.0,4.0,3.0,3.0,4.0,1.0,,3.0,2.0,5.0,,3.0,,,,,,,,,,,
5.0,,,,,,,5.0,5.0,4.0,,,,3.0,,,3.0,,,5.0,5.0,,4.0,3.0,,,,3.0,,,
,4.5,,,3.5,,,4.5,4.0,2.5,,2.5,,,,1.5,,,2.5,,4.0,,4.5,4.0,4.0,,3.0,2.0,,4.5,3.0
4.5,,,4.0,,,3.5,,3.0,,,,,,5.0,,,,,4.5,,,4.0,4.0,2.0,3.5,1.0,,,3.0,4.0
3.0,2.0,4.0,,,4.5,,,3.0,4.5,2.0,,,,4.5,,3.5,,,3.5,,4.0,4.5,,,,,4.5,,4.0,5.0
5.0,,,4.5,,,5.0,5.0,,3.5,5.0,,,3.0,,4.0,4.0,,4.0,4.5,4.5,,5.0,5.0,4.0,5.0,5.0,,,5.0,4.0
,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.5,2.0,3.0,2.0
4.0,5.0,5.0,5.0,4.0,4.0,3.5,4.5,5.0,4.5,5.0,5.0,5.0,4.0,,4.5,4.5,4.0,3.5,4.0,4.0,2.5,4.5,4.5,4.0,5.0,4.5,4.0,5.0,5.0,3.5
4.5,,5.0,5.0,5.0,4.0,5.0,,5.0,4.5,,,4.5,,4.5,,,,,,,,,5.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5
5.0,5.0,5.0,5.0,,4.5,,5.0,5.0,4.0,,,,,,,,,,5.0,,5.0,5.0,,,,,5.0,,5.0,
4.5,4.0,5.0,3.5,,,4.0,5.0,4.0,4.0,,3.5,,,5.0,,4.5,,4.0,4.5,5.0,,5.0,5.0,4.5,,5.0,4.0,4.0,,5.0
4.0,4.0,,5.0,,3.0,2.0,5.0,4.0,2.0,,,5.0,,4.0,,4.0,1.0,,3.0,4.0,1.0,5.0,,3.0,2.0,4.0,,,,
,5.0,,,,,5.0,,,,,,,,4.0,,5.0,,,4.0,,,,5.0,,5.0,,,,,
4.0,,,,,5.0,,5.0,,,5.0,4.0,4.0,,,4.0,,4.0,3.0,,,,,,,,,,,,
,,,5.0,,,,5.0,5.0,,,,,,4.5,,,,,,,,,,,,,,,,4.0
,,,,,,2.0,,3.0,,,,,3.0,3.0,3.0,4.0,,,5.0,4.0,3.0,5.0,5.0,,4.0,4.0,,3.0,,
4.0,3.0,4.0,4.0,5.0,5.0,,3.0,5.0,4.0,5.0,4.0,,5.0,,3.0,5.0,5.0,3.0,4.0,,,,,,,,,,,
,,,,3.0,3.5,5.0,4.5,3.5,3.5,,,3.5,,,,,3.5,2.5,4.0,,,4.5,4.5,5.0,4.0,3.0,4.0,4.0,,5.0
4.0,,4.5,,4.5,4.0,5.0,4.5,4.5,5.0,4.5,4.0,4.5,4.5,4.5,4.5,4.0,4.0,4.5,5.0,4.0,3.5,4.5,4.5,4.5,4.5,4.0,4.5,4.0,4.5,4.5
,,,,,,4.5,,5.0,4.5,,,,,,,5.0,,,4.5,,,,5.0,5.0,5.0,,4.5,,,
,,,,,,,4.5,5.0,5.0,,,,3.5,,,,,,3.5,,,,,,,,,,,
3.0,,,,5.0,4.0,,3.0,4.0,,3.0,4.0,3.0,,,3.0,,4.0,3.0,4.0,4.0,,,,,,,,,,
